Date,Price,Open,High,Low ,Vol.,Change %
"Apr 22, 2015","11,144.45","11,113.25","11,154.23","11,067.27","-"   ,"0.40%"
"Apr 21, 2015","11,100.38","11,115.80","11,161.95","11,085.48","-"   ,"-0.15%"
"Apr 20, 2015","11,116.57","11,058.51","11,144.88","11,058.51","-"   ,"0.53%"
"Apr 17, 2015","11,058.45","11,113.51","11,113.51","11,010.93","-"   ,"-1.00%"
"Apr 16, 2015","11,169.75","11,171.50","11,203.07","11,134.03","-"   ,"-0.01%"
"Apr 15, 2015","11,171.06","11,136.89","11,196.98","11,136.13","-"   ,"0.57%"
"Apr 14, 2015","11,108.07","11,078.76","11,117.03","11,045.31","-"   ,"0.46%"
"Apr 13, 2015","11,056.76","11,110.18","11,123.62","11,056.37","-"   ,"-0.50%"
"Apr 10, 2015","11,112.68","11,077.74","11,114.51","11,075.60","-"   ,"0.43%"
"Apr 09, 2015","11,065.39","11,028.75","11,072.92","10,993.27","-"   ,"0.29%"
"Apr 08, 2015","11,032.99","11,038.52","11,073.67","10,995.28","-"   ,"0.18%"
"Apr 07, 2015","11,013.24","11,042.00","11,082.15","11,012.11","-"   ,"-0.18%"
"Apr 06, 2015","11,033.12","10,936.84","11,068.63","10,927.02","-"   ,"0.73%"
"Apr 02, 2015","10,953.16","10,897.66","10,974.98","10,895.31","-"   ,"0.57%"
"Apr 01, 2015","10,891.61","10,906.13","10,909.02","10,834.02","-"   ,"-0.07%"
"Mar 31, 2015","10,899.18","10,914.05","10,955.34","10,890.80","-"   ,"-0.82%"
"Mar 30, 2015","10,989.16","10,919.05","11,009.01","10,919.05","-"   ,"1.05%"
"Mar 27, 2015","10,875.14","10,860.65","10,877.66","10,838.57","-"   ,"0.09%"
"Mar 26, 2015","10,865.15","10,877.19","10,911.15","10,815.96","-"   ,"-0.30%"
"Mar 25, 2015","10,897.51","11,036.95","11,057.04","10,897.18","-"   ,"-1.11%"
"Mar 24, 2015","11,019.75","11,071.95","11,080.66","11,019.75","-"   ,"-0.46%"
"Mar 23, 2015","11,070.89","11,089.66","11,115.58","11,070.54","-"   ,"0.00%"
"Mar 20, 2015","11,070.53","10,932.50","11,094.27","10,932.50","-"   ,"1.27%"
"Mar 19, 2015","10,931.36","10,976.83","10,976.83","10,908.01","-"   ,"-0.80%"
"Mar 18, 2015","11,019.72","10,846.43","11,055.01","10,826.04","-"   ,"1.45%"
"Mar 17, 2015","10,862.43","10,843.68","10,879.08","10,808.92","-"   ,"-0.17%"
